Group,Sex,Age_Group,MetS_Status,Food,Risk_Score,Direct_Effect,Network_Centrality,Indirect_Effect,Degree_Centrality,Betweenness_Centrality,Current_Intake,N_Connections,Food_Category
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),Sugar-Sweetened Beverages,0.5086954633947657,0.047008926752337976,1.0,0.6329729756461018,0.9090909090909092,0.03781385281385281,1.2860385925085132,10,Unhealthy
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),Additional Salt Use,0.5011126402854694,0.05799197552402911,0.7999999999999999,0.7930528335861927,0.7272727272727273,0.00896103896103896,1.5051078320090805,8,Unhealthy
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),Salty Food Consumption,0.5887595330850843,0.04689883271271075,0.9,1.0,0.8181818181818182,0.0229004329004329,1.7650397275822929,9,Unhealthy
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),Sweet Food Consumption,0.5415484204737538,0.03520924921261672,0.9,0.8582157359623571,0.8181818181818182,0.017186147186147183,1.8989784335981839,9,Healthy
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Grain Products,0.377991814499008,0.03470633052933993,0.7999999999999999,0.41369760762424,0.7272727272727273,0.01712121212121212,2.1226912928759893,8,Healthy
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Protein Foods,0.5943847071944299,0.03603732896611187,1.0,0.9332325853599509,0.9090909090909092,0.046911976911976905,2.9472295514511875,10,Healthy
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Vegetables,0.4014185150388052,0.03782482089819077,0.5999999999999999,0.6876286222650964,0.5454545454545454,0.0127994227994228,2.7651715039577835,6,Healthy
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Dairy Products,0.2684828116244797,0.04422463982837359,0.5,0.33597651897710085,0.4545454545454546,0.00505050505050505,1.8614775725593669,5,Healthy
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Fruits,0.4936379092772345,0.054171438381771866,0.9,0.6732311130817527,0.8181818181818182,0.0475974025974026,2.241424802110818,9,Healthy
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Fried Foods,0.5050358737997138,0.06526162700233328,0.7,0.8964374099959352,0.6363636363636364,0.004292929292929293,1.3931398416886545,7,Unhealthy
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),High Fat Meat,0.5329790344673146,0.03613151703781641,0.9,0.8284214255072936,0.8181818181818182,0.012518037518037517,1.3746701846965699,9,Unhealthy
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Processed Foods,0.5594177455013145,0.04854436375328635,0.7999999999999999,1.0,0.7272727272727273,0.010245310245310245,1.437994722955145,8,Unhealthy
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Sugar-Sweetened Beverages,0.5632802416925402,0.06261993202735766,1.0,0.794107562938657,0.9090909090909092,0.040396825396825396,1.274406332453826,10,Unhealthy
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Additional Salt Use,0.4192931912656301,0.021165585962702273,1.0,0.3694231896018305,0.9090909090909092,0.055173160173160166,1.4063324538258575,10,Unhealthy
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Salty Food Consumption,0.39331140752127003,0.01830053161366174,0.7999999999999999,0.48663731625268447,0.7272727272727273,0.006890331890331889,1.6596306068601583,8,Unhealthy
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),Sweet Food Consumption,0.5689512935790186,0.0685597822175324,1.0,0.8050912689733524,0.9090909090909092,0.03191197691197691,2.0606860158311346,10,Healthy
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),Grain Products,0.22968251510991922,0.03632205115555137,0.39999999999999997,0.31717898215899565,0.36363636363636365,0.00303030303030303,2.217391304347826,4,Healthy
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),Protein Foods,0.5462728584129686,0.015682146032421677,0.7999999999999999,1.0,0.7272727272727273,0.042121212121212115,2.851170568561873,8,Healthy
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),Vegetables,0.358572515970501,0.029694845758115963,0.5999999999999999,0.5556485922241823,0.5454545454545454,0.017045454545454544,2.8779264214046822,6,Healthy
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),Dairy Products,0.37851959497073495,0.034022985310087336,0.7999999999999999,0.4163680028223337,0.7272727272727273,0.042121212121212115,2.0551839464882944,8,Healthy
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),Fruits,0.3928214431231154,0.026523946777596875,0.7999999999999999,0.4740395480402555,0.7272727272727273,0.04151515151515151,2.4899665551839463,8,Healthy
